
============= 评测总结 =============
评测时间: 2025-09-28 20:20:55
处理文件: 评测/0823所有简答.jsonl
总问题数: 544
总得分: 3910/5440
准确率: 71.9%
运行时间: 6098.41 秒 (101.64 分钟)

学科领域统计:
学科领域            问题数      得分       总分       准确率        平均用时      
-----------------------------------------------------------------
考古              328      2348     3280     71.6%      23.51秒
汉语言文字学          28       203      280      72.5%      32.42秒
文物              10       76       100      76.0%      33.50秒
中国古代史           110      798      1100     72.5%      33.19秒
中国古代文学          2        16       20       80.0%      39.93秒
历史地理学           40       284      400      71.0%      26.77秒
中国古典文献学         23       170      230      73.9%      28.79秒
非以上学科领域或无学科领域   3        15       30       50.0%      21.88秒

历史分期统计:
历史分期            问题数      得分       总分       准确率        平均用时      
-----------------------------------------------------------------
商               48       355      480      74.0%      31.81秒
新石器时代（含夏）       181      1296     1810     71.6%      21.83秒
商、新石器时代（含夏）     12       81       120      67.5%      15.88秒
秦               20       141      200      70.5%      21.34秒
秦、西汉            29       217      290      74.8%      41.70秒
西汉              76       536      760      70.5%      26.34秒
新石器时代（含夏）、旧石器时代 5        37       50       74.0%      25.36秒
东周、秦、西汉         14       102      140      72.9%      24.86秒
东周              42       298      420      71.0%      23.76秒
西周              38       282      380      74.2%      22.93秒
东周、西周           13       99       130      76.2%      34.71秒
东周、商、西周         9        65       90       72.2%      20.85秒
非以上时段或无时段       2        15       20       75.0%      13.79秒
旧石器时代、非以上时段或无时段 1        5        10       50.0%      14.53秒
东周、商、新石器时代（含夏）、西周 4        23       40       57.5%      40.57秒
西汉、西汉之后         3        19       30       63.3%      12.18秒
商、新石器时代（含夏）、西周  2        15       20       75.0%      18.25秒
东周、西汉           6        44       60       73.3%      19.82秒
商、西周            17       125      170      73.5%      34.54秒
东周、秦、西周         1        8        10       80.0%      36.59秒
东周、秦、西周、西汉      5        37       50       74.0%      29.00秒
新石器时代（含夏）、秦、西汉  1        6        10       60.0%      18.48秒
东周、秦            6        46       60       76.7%      46.13秒
商、西汉            1        6        10       60.0%      21.74秒
东周、商、秦、西周       1        7        10       70.0%      53.08秒
东周、西周、西汉        3        16       30       53.3%      179.72秒
东周、商、西周、西汉      1        7        10       70.0%      30.39秒
东周、商、新石器时代（含夏）、西汉 1        8        10       80.0%      14.11秒
东周、商            1        8        10       80.0%      59.32秒
东周、新石器时代（含夏）    1        6        10       60.0%      13.06秒

核心目的统计:
核心目的            问题数      得分       总分       准确率        平均用时      
-----------------------------------------------------------------
分析推论            253      1842     2530     72.8%      29.75秒
事实呈现            35       215      350      61.4%      10.97秒
特征描述            26       182      260      70.0%      34.71秒
事实呈现、分析推论       67       480      670      71.6%      25.37秒
事实呈现、检索         5        30       50       60.0%      21.62秒
分析推论、识读         5        37       50       74.0%      28.15秒
事实呈现、特征描述       11       75       110      68.2%      19.83秒
事实呈现、识读         2        14       20       70.0%      12.88秒
分析推论、检索         9        67       90       74.4%      18.06秒
分析推论、特征描述       41       304      410      74.1%      17.84秒
识读              1        5        10       50.0%      5.75秒
事实呈现、分析推论、特征描述  26       190      260      73.1%      25.19秒
事实呈现、信度考据、分析推论、特征描述 9        65       90       72.2%      46.59秒
信度考据、分析推论       26       195      260      75.0%      30.76秒
事实呈现、信度考据、分析推论  17       125      170      73.5%      23.46秒
分析推论、检索、特征描述    3        23       30       76.7%      15.65秒
信度考据            2        16       20       80.0%      19.59秒
信度考据、分析推论、特征描述  3        24       30       80.0%      50.86秒
信度考据、分析推论、检索    1        7        10       70.0%      17.60秒
信度考据、分析推论、识读    1        7        10       70.0%      20.64秒
事实呈现、信度考据、分析推论、检索 1        7        10       70.0%      25.50秒
==================================
