
============= 评测总结 =============
评测时间: 2025-09-29 02:45:52
处理文件: 评测/0823所有简答.jsonl
总问题数: 544
总得分: 3043/5440
准确率: 55.9%
运行时间: 10402.54 秒 (173.38 分钟)

学科领域统计:
学科领域            问题数      得分       总分       准确率        平均用时      
-----------------------------------------------------------------
考古              328      1946     3280     59.3%      49.71秒
汉语言文字学          28       149      280      53.2%      62.11秒
文物              10       55       100      55.0%      74.82秒
中国古代史           110      591      1100     53.7%      64.87秒
中国古代文学          2        0        20       0.0%      81.19秒
历史地理学           40       179      400      44.8%      67.91秒
中国古典文献学         23       108      230      47.0%      60.10秒
非以上学科领域或无学科领域   3        15       30       50.0%      79.67秒

历史分期统计:
历史分期            问题数      得分       总分       准确率        平均用时      
-----------------------------------------------------------------
商               48       279      480      58.1%      55.71秒
新石器时代（含夏）       181      1140     1810     63.0%      41.88秒
商、新石器时代（含夏）     12       49       120      40.8%      57.05秒
秦               20       95       200      47.5%      56.28秒
秦、西汉            29       110      290      37.9%      78.52秒
西汉              76       364      760      47.9%      67.37秒
新石器时代（含夏）、旧石器时代 5        39       50       78.0%      21.94秒
东周、秦、西汉         14       83       140      59.3%      99.46秒
东周              42       221      420      52.6%      52.21秒
西周              38       209      380      55.0%      56.78秒
东周、西周           13       92       130      70.8%      92.10秒
东周、商、西周         9        63       90       70.0%      43.63秒
非以上时段或无时段       2        8        20       40.0%      95.62秒
旧石器时代、非以上时段或无时段 1        7        10       70.0%      17.09秒
东周、商、新石器时代（含夏）、西周 4        32       40       80.0%      35.33秒
西汉、西汉之后         3        15       30       50.0%      38.41秒
商、新石器时代（含夏）、西周  2        17       20       85.0%      50.05秒
东周、西汉           6        22       60       36.7%      74.27秒
商、西周            17       104      170      61.2%      62.58秒
东周、秦、西周         1        8        10       80.0%      71.60秒
东周、秦、西周、西汉      5        32       50       64.0%      48.45秒
新石器时代（含夏）、秦、西汉  1        7        10       70.0%      61.24秒
东周、秦            6        31       60       51.7%      70.59秒
商、西汉            1        0        10       0.0%      98.94秒
东周、商、秦、西周       1        0        10       0.0%      95.19秒
东周、西周、西汉        3        16       30       53.3%      48.68秒
东周、商、西周、西汉      1        0        10       0.0%      78.86秒
东周、商、新石器时代（含夏）、西汉 1        0        10       0.0%      80.48秒
东周、商            1        0        10       0.0%      72.52秒
东周、新石器时代（含夏）    1        0        10       0.0%      77.31秒

核心目的统计:
核心目的            问题数      得分       总分       准确率        平均用时      
-----------------------------------------------------------------
分析推论            253      1400     2530     55.3%      62.74秒
事实呈现            35       196      350      56.0%      31.42秒
特征描述            26       180      260      69.2%      30.49秒
事实呈现、分析推论       67       351      670      52.4%      55.42秒
事实呈现、检索         5        9        50       18.0%      55.90秒
分析推论、识读         5        31       50       62.0%      43.69秒
事实呈现、特征描述       11       83       110      75.5%      32.10秒
事实呈现、识读         2        16       20       80.0%      22.60秒
分析推论、检索         9        56       90       62.2%      50.49秒
分析推论、特征描述       41       271      410      66.1%      46.15秒
识读              1        6        10       60.0%      15.97秒
事实呈现、分析推论、特征描述  26       142      260      54.6%      49.13秒
事实呈现、信度考据、分析推论、特征描述 9        35       90       38.9%      73.62秒
信度考据、分析推论       26       133      260      51.2%      86.38秒
事实呈现、信度考据、分析推论  17       68       170      40.0%      58.26秒
分析推论、检索、特征描述    3        16       30       53.3%      47.49秒
信度考据            2        8        20       40.0%      57.52秒
信度考据、分析推论、特征描述  3        25       30       83.3%      29.46秒
信度考据、分析推论、检索    1        9        10       90.0%      28.90秒
信度考据、分析推论、识读    1        0        10       0.0%      103.11秒
事实呈现、信度考据、分析推论、检索 1        8        10       80.0%      34.53秒
==================================
