
============= 评测总结 =============
评测时间: 2025-10-02 23:34:59
处理文件: 评测/0823所有简答.jsonl
总问题数: 544
总得分: 3653/5440
准确率: 67.2%
运行时间: 5941.80 秒 (99.03 分钟)

学科领域统计:
学科领域            问题数      得分       总分       准确率        平均用时      
-----------------------------------------------------------------
考古              328      2177     3280     66.4%      36.29秒
汉语言文字学          28       189      280      67.5%      46.08秒
文物              10       71       100      71.0%      25.01秒
中国古代史           110      745      1100     67.7%      27.02秒
中国古代文学          2        14       20       70.0%      53.49秒
历史地理学           40       278      400      69.5%      28.61秒
中国古典文献学         23       158      230      68.7%      32.09秒
非以上学科领域或无学科领域   3        21       30       70.0%      24.07秒

历史分期统计:
历史分期            问题数      得分       总分       准确率        平均用时      
-----------------------------------------------------------------
商               48       330      480      68.8%      28.15秒
新石器时代（含夏）       181      1207     1810     66.7%      34.54秒
商、新石器时代（含夏）     12       83       120      69.2%      22.15秒
秦               20       132      200      66.0%      24.91秒
秦、西汉            29       190      290      65.5%      27.08秒
西汉              76       517      760      68.0%      31.87秒
新石器时代（含夏）、旧石器时代 5        31       50       62.0%      29.08秒
东周、秦、西汉         14       99       140      70.7%      23.28秒
东周              42       275      420      65.5%      33.30秒
西周              38       260      380      68.4%      31.01秒
东周、西周           13       87       130      66.9%      27.13秒
东周、商、西周         9        63       90       70.0%      41.07秒
非以上时段或无时段       2        14       20       70.0%      36.20秒
旧石器时代、非以上时段或无时段 1        5        10       50.0%      81.99秒
东周、商、新石器时代（含夏）、西周 4        21       40       52.5%      144.59秒
西汉、西汉之后         3        19       30       63.3%      195.81秒
商、新石器时代（含夏）、西周  2        15       20       75.0%      25.30秒
东周、西汉           6        38       60       63.3%      30.24秒
商、西周            17       116      170      68.2%      28.31秒
东周、秦、西周         1        7        10       70.0%      20.73秒
东周、秦、西周、西汉      5        35       50       70.0%      123.99秒
新石器时代（含夏）、秦、西汉  1        7        10       70.0%      21.64秒
东周、秦            6        41       60       68.3%      29.88秒
商、西汉            1        6        10       60.0%      18.36秒
东周、商、秦、西周       1        6        10       60.0%      24.92秒
东周、西周、西汉        3        21       30       70.0%      31.59秒
东周、商、西周、西汉      1        7        10       70.0%      29.12秒
东周、商、新石器时代（含夏）、西汉 1        6        10       60.0%      44.91秒
东周、商            1        7        10       70.0%      23.01秒
东周、新石器时代（含夏）    1        8        10       80.0%      22.37秒

核心目的统计:
核心目的            问题数      得分       总分       准确率        平均用时      
-----------------------------------------------------------------
分析推论            253      1751     2530     69.2%      35.05秒
事实呈现            35       196      350      56.0%      21.14秒
特征描述            26       169      260      65.0%      37.64秒
事实呈现、分析推论       67       441      670      65.8%      27.12秒
事实呈现、检索         5        27       50       54.0%      20.74秒
分析推论、识读         5        32       50       64.0%      20.71秒
事实呈现、特征描述       11       71       110      64.5%      36.80秒
事实呈现、识读         2        13       20       65.0%      24.56秒
分析推论、检索         9        63       90       70.0%      29.22秒
分析推论、特征描述       41       285      410      69.5%      43.38秒
识读              1        5        10       50.0%      12.86秒
事实呈现、分析推论、特征描述  26       175      260      67.3%      40.79秒
事实呈现、信度考据、分析推论、特征描述 9        62       90       68.9%      34.74秒
信度考据、分析推论       26       184      260      70.8%      27.94秒
事实呈现、信度考据、分析推论  17       116      170      68.2%      25.70秒
分析推论、检索、特征描述    3        19       30       63.3%      39.23秒
信度考据            2        11       20       55.0%      37.13秒
信度考据、分析推论、特征描述  3        13       30       43.3%      189.44秒
信度考据、分析推论、检索    1        7        10       70.0%      23.29秒
信度考据、分析推论、识读    1        6        10       60.0%      19.62秒
事实呈现、信度考据、分析推论、检索 1        7        10       70.0%      20.33秒
==================================
