
============= 评测总结 =============
评测时间: 2025-10-08 12:27:23
处理文件: 评测/0823所有选择.jsonl
总问题数: 534
总得分: 620/1068
准确率: 58.1%
运行时间: 720.09 秒 (12.00 分钟)

学科领域统计:
学科领域            问题数      得分       总分       准确率        平均用时      
-----------------------------------------------------------------
考古              341      396      682      58.1%      2.80秒
非以上学科领域或无学科领域   13       18       26       69.2%      2.15秒
文物              22       30       44       68.2%      2.06秒
汉语言文字学          32       30       64       46.9%      2.15秒
中国古典文献学         14       16       28       57.1%      4.98秒
中国古代史           71       84       142      59.2%      1.99秒
历史地理学           36       42       72       58.3%      3.10秒
历史文献学           5        4        10       40.0%      1.63秒

历史分期统计:
历史分期            问题数      得分       总分       准确率        平均用时      
-----------------------------------------------------------------
东周、商、新石器时代（含夏）、秦、西周、西汉 1        0        2        0.0%      1.25秒
东周              28       32       56       57.1%      1.97秒
西汉、西汉之后         17       14       34       41.2%      2.00秒
东周、新石器时代（含夏）    1        0        2        0.0%      8.16秒
西汉              28       38       56       67.9%      1.89秒
新石器时代（含夏）       207      236      414      57.0%      3.06秒
秦、西汉            14       22       28       78.6%      1.88秒
东周、秦            2        2        4        50.0%      2.12秒
商、新石器时代（含夏）     11       14       22       63.6%      1.86秒
新石器时代（含夏）、旧石器时代 1        0        2        0.0%      1.86秒
东周、秦、西汉         4        6        8        75.0%      2.53秒
商               68       84       136      61.8%      3.34秒
东周、商、西周         11       18       22       81.8%      1.95秒
商、西周            6        6        12       50.0%      1.86秒
旧石器时代           27       34       54       63.0%      2.25秒
东周、商、西汉         1        0        2        0.0%      1.56秒
东周、西周           12       12       24       50.0%      5.47秒
东周、商、新石器时代（含夏）、西周 2        2        4        50.0%      2.08秒
东周、秦、西汉、西汉之后    2        2        4        50.0%      2.00秒
东周、秦、西周、西汉、西汉之后 3        4        6        66.7%      1.39秒
西周              30       28       60       46.7%      1.95秒
东周、商、秦、西周       1        0        2        0.0%      1.99秒
新石器时代（含夏）、西周    1        2        2        100.0%      2.21秒
西汉之后            30       28       60       46.7%      2.07秒
东周、西汉之后         2        2        4        50.0%      1.90秒
商、西汉之后          3        6        6        100.0%      1.82秒
东周、秦、西周、西汉      3        2        6        33.3%      3.91秒
秦               10       14       20       70.0%      2.18秒
超出本人能力范围        2        4        4        100.0%      1.73秒
秦、西汉、西汉之后       4        6        8        75.0%      1.64秒
东周、商、新石器时代（含夏）、秦、西周、西汉、西汉之后 1        0        2        0.0%      1.68秒
东周、西周、西汉之后      1        2        2        100.0%      2.29秒

核心目的统计:
核心目的            问题数      得分       总分       准确率        平均用时      
-----------------------------------------------------------------
分析推论            249      314      498      63.1%      2.49秒
事实呈现、分析推论       71       86       142      60.6%      2.14秒
事实呈现            102      108      204      52.9%      2.48秒
分析推论、特征描述       23       24       46       52.2%      3.83秒
事实呈现、检索         4        2        8        25.0%      3.09秒
分析推论、检索         11       6        22       27.3%      2.04秒
事实呈现、特征描述       11       12       22       54.5%      1.74秒
特征描述            28       30       56       53.6%      5.08秒
事实呈现、信度考据、特征描述  1        2        2        100.0%      1.50秒
分析推论、识读         6        8        12       66.7%      2.10秒
事实呈现、信度考据       2        2        4        50.0%      2.26秒
检索              6        8        12       66.7%      3.26秒
信度考据、分析推论       13       12       26       46.2%      5.45秒
检索、特征描述         2        2        4        50.0%      1.73秒
信度考据、分析推论、特征描述  2        2        4        50.0%      1.45秒
事实呈现、翻译         1        0        2        0.0%      1.94秒
事实呈现、分析推论、翻译    1        0        2        0.0%      1.57秒
翻译              1        2        2        100.0%      1.28秒
==================================
